Event_name,Location,Depth,Magnitude
B011478D,-30.12 -177.49,44.0,5.8
B011478E,34.80 138.80,10.0,5.5
B011578A,-30.21 -177.55,17.0,5.6
B011678A,36.39 70.72,221.0,5.3
B011778A,-31.29 -67.87,24.0,5.8
B011778B,16.52 40.26,10.0,5.2
B012078B,-9.79 159.48,73.0,5.5
B012078A,-34.28 -70.19,132.0,5.7
B012078C,-4.17 123.36,51.0,5.8
B012178A,6.38 -72.38,41.0,5.1
B012278A,-16.13 -73.66,49.0,5.4
B012478A,44.73 149.72,56.0,5.7
B012478B,-5.98 148.87,98.0,5.7
B012478C,-62.45 165.76,33.0,5.2
B012578B,-8.13 121.64,182.0,5.3
C012578A,-5.34 151.68,44.0,6.1
B012678A,-5.40 145.03,68.0,5.5
B012778A,13.46 144.82,41.0,5.2
C012878A,-25.92 -177.30,102.0,6.0
B012978A,45.97 149.15,146.0,5.5
B012978B,-29.84 -177.23,45.0,5.3
B012978C,-4.22 152.81,20.0,5.7
B012978D,-24.85 -175.43,39.0,5.6
B013078A,-29.78 -177.22,39.0,5.6
B013178A,-56.12 -27.40,132.0,5.5
B020178A,79.90 0.82,33.0,5.2
B020278A,-5.53 151.68,33.0,5.6
B020378A,4.83 125.66,186.0,5.7
B020578A,78.41 -108.09,33.0,5.0
B020778A,-0.08 124.08,81.0,5.9
B020778B,12.80 93.02,33.0,5.5
B020778C,-20.06 -178.25,578.0,5.4
B020778D,12.86 93.07,33.0,5.6
B020878A,24.15 122.66,40.0,5.5
B020878B,-55.92 -144.57,33.0,5.3
B020878C,-4.23 102.89,83.0,5.4
B020978B,44.43 149.90,45.0,5.7
Z020978A,-30.68 -177.36,33.0,5.7
B021078A,-30.07 -177.33,33.0,5.7
